,month,eb2_wait_time,eb3_wait_time,eb3_current_month_advance_days,eb3_next_month_advance_days,long_consecutive_advance_days,advance
1,Dec-2017,53,45,1.0,2.0,25.0,True
2,Nov-2017,53,45,1.0,1.0,24.0,True
3,Oct-2017,52,45,24.0,1.0,0.0,True
4,Sep-2017,52,68,0.0,24.0,0.0,True
5,Aug-2017,51,67,0.0,0.0,0.0,False
6,Jul-2017,51,66,-33.0,0.0,58.0,False
7,Jun-2017,51,32,0.0,-33.0,58.0,False
8,May-2017,51,31,1.0,0.0,57.0,False
9,Apr-2017,51,31,5.0,1.0,52.0,True
10,Mar-2017,51,35,6.0,5.0,46.0,True
11,Feb-2017,51,40,1.0,6.0,45.0,True
12,Jan-2017,51,40,2.0,1.0,43.0,True
13,Dec-2016,50,41,3.0,2.0,40.0,True
14,Nov-2016,52,43,2.0,3.0,38.0,True
15,Oct-2016,56,44,38.0,2.0,0.0,True
16,Sep-2016,81,81,0.0,38.0,0.0,True
17,Aug-2016,80,80,0.0,0.0,0.0,False
18,Jul-2016,79,79,0.0,0.0,0.0,False
19,Jun-2016,78,78,-45.0,0.0,112.0,False
20,May-2016,44,32,0.0,-45.0,112.0,False
21,Apr-2016,43,31,3.0,0.0,109.0,False
22,Mar-2016,43,33,8.0,3.0,101.0,True
23,Feb-2016,47,40,3.0,8.0,98.0,True
24,Jan-2016,47,42,3.0,3.0,95.0,True
25,Dec-2015,46,44,3.0,3.0,92.0,True
26,Nov-2015,45,46,3.0,3.0,89.0,True
27,Oct-2015,45,48,82.0,3.0,7.0,True
28,Sep-2015,117,129,7.0,82.0,0.0,True
29,Aug-2015,7,135,-88.0,7.0,8.0,True
30,Jul-2015,9,46,0.0,-88.0,8.0,False
31,Jun-2015,24,45,4.0,0.0,4.0,False
32,May-2015,35,48,4.0,4.0,0.0,True
33,Apr-2015,48,51,-10.0,4.0,62.0,True
34,Mar-2015,54,40,2.0,-10.0,60.0,False
35,Feb-2015,59,41,6.0,2.0,54.0,True
36,Jan-2015,59,46,9.0,6.0,45.0,True
37,Dec-2014,59,54,5.0,9.0,40.0,True
38,Nov-2014,59,58,9.0,5.0,31.0,True
39,Oct-2014,59,66,5.0,9.0,26.0,True
40,Sep-2014,59,70,0.0,5.0,26.0,True
41,Aug-2014,58,69,26.0,0.0,0.0,False
42,Jul-2014,60,94,0.0,26.0,0.0,True
43,Jun-2014,61,93,-85.0,0.0,110.0,False
44,May-2014,61,7,0.0,-85.0,110.0,False
45,Apr-2014,61,6,1.0,0.0,109.0,False
46,Mar-2014,61,6,3.0,1.0,106.0,True
47,Feb-2014,61,8,2.0,3.0,104.0,True
48,Jan-2014,61,9,18.0,2.0,86.0,True
49,Dec-2013,61,26,11.0,18.0,75.0,True
50,Nov-2013,61,36,4.0,11.0,71.0,True
51,Oct-2013,61,39,0.0,4.0,71.0,True
52,Sep-2013,61,38,18.0,0.0,53.0,False
53,Aug-2013,60,55,0.0,18.0,53.0,True
54,Jul-2013,59,54,4.0,0.0,49.0,False
55,Jun-2013,61,57,9.0,4.0,40.0,True
56,May-2013,60,65,8.0,9.0,32.0,True
57,Apr-2013,60,72,2.0,8.0,30.0,True
58,Mar-2013,61,73,3.0,2.0,27.0,True
59,Feb-2013,61,75,2.0,3.0,25.0,True
60,Jan-2013,61,76,3.0,2.0,22.0,True
61,Dec-2012,61,78,2.0,3.0,20.0,True
62,Nov-2012,62,79,2.0,2.0,18.0,True
63,Oct-2012,63,80,2.0,2.0,16.0,True
64,Sep-2012,61,81,1.0,2.0,15.0,True
65,Aug-2012,60,81,2.0,1.0,13.0,True
66,Jul-2012,59,82,1.0,2.0,12.0,True
67,Jun-2012,58,82,4.0,1.0,8.0,True
68,May-2012,57,85,1.0,4.0,7.0,True
69,Apr-2012,11,85,3.0,1.0,4.0,True
70,Mar-2012,24,87,1.0,3.0,3.0,True
71,Feb-2012,24,87,1.0,1.0,2.0,True
72,Jan-2012,36,87,1.0,1.0,1.0,True
73,Dec-2011,45,87,1.0,1.0,0.0,True
74,Nov-2011,48,87,-1.0,1.0,31.0,True
75,Oct-2011,51,85,1.0,-1.0,30.0,False
76,Sep-2011,53,85,1.0,1.0,29.0,True
77,Aug-2011,52,85,1.0,1.0,28.0,True
78,Jul-2011,52,85,1.0,1.0,27.0,True
79,Jun-2011,56,85,1.0,1.0,26.0,True
80,May-2011,57,85,1.0,1.0,25.0,True
81,Apr-2011,56,85,1.0,1.0,24.0,True
82,Mar-2011,56,85,1.0,1.0,23.0,True
83,Feb-2011,55,85,1.0,1.0,22.0,True
84,Jan-2011,54,85,0.0,1.0,22.0,True
85,Dec-2010,54,84,1.0,0.0,21.0,False
86,Nov-2010,53,84,0.0,1.0,21.0,True
87,Oct-2010,52,83,1.0,0.0,20.0,False
88,Sep-2010,52,83,1.0,1.0,19.0,True
89,Aug-2010,53,83,1.0,1.0,18.0,True
90,Jul-2010,55,83,2.0,1.0,16.0,True
91,Jun-2010,54,84,2.0,2.0,14.0,True
92,May-2010,55,85,3.0,2.0,11.0,True
93,Apr-2010,55,87,1.0,3.0,10.0,True
94,Mar-2010,56,87,3.0,1.0,7.0,True
95,Feb-2010,56,89,2.0,3.0,5.0,True
96,Jan-2010,56,90,2.0,2.0,3.0,True
97,Dec-2009,56,91,0.0,2.0,3.0,True
98,Nov-2009,55,90,3.0,0.0,0.0,False
99,Oct-2009,54,92,-18.0,3.0,23.0,True
100,Sep-2009,56,73,1.0,-18.0,22.0,False
101,Aug-2009,70,73,1.0,1.0,21.0,True
102,Jul-2009,115,73,1.0,1.0,20.0,True
103,Jun-2009,52,73,1.0,1.0,19.0,True
104,May-2009,51,73,1.0,1.0,18.0,True
105,Apr-2009,49,73,5.0,1.0,13.0,True
106,Mar-2009,49,77,1.0,5.0,12.0,True
107,Feb-2009,48,77,4.0,1.0,8.0,True
108,Jan-2009,54,80,4.0,4.0,4.0,True
109,Dec-2008,54,83,0.0,4.0,4.0,True
110,Nov-2008,53,82,4.0,0.0,0.0,False
111,Oct-2008,54,85,-18.0,4.0,0.0,True
112,Sep-2008,24,66,0.0,-18.0,0.0,False
113,Aug-2008,26,65,0.0,0.0,0.0,False
114,Jul-2008,51,64,0.0,0.0,0.0,False
115,Jun-2008,50,63,-1.0,0.0,18.0,False
116,May-2008,52,61,1.0,-1.0,17.0,False
117,Apr-2008,52,61,3.0,1.0,14.0,True
118,Mar-2008,51,63,13.0,3.0,1.0,True
119,Feb-2008,60,75,1.0,13.0,0.0,True
120,Jan-2008,60,75,-1.0,1.0,3.0,True
121,Dec-2007,59,73,3.0,-1.0,0.0,False
